file_path,file_size,commits_count
frontend/src/ts/controllers/quotes-controller.ts,6651,13
frontend/src/ts/controllers/route-controller.ts,4204,31
frontend/src/ts/controllers/sound-controller.ts,18949,16
frontend/src/ts/controllers/tag-controller.ts,1828,3
frontend/src/ts/controllers/theme-controller.ts,12844,43
frontend/src/ts/controllers/user-flag-controller.ts,2021,1
frontend/src/ts/db.ts,28712,65
frontend/src/ts/elements/account-button.ts,11975,43
frontend/src/ts/elements/alerts.ts,12060,43
frontend/src/ts/elements/custom-background-filter.ts,4189,10
frontend/src/ts/elements/fps-counter.ts,1257,4
frontend/src/ts/elements/input-indicator.ts,2232,7
frontend/src/ts/elements/keymap.ts,10367,20
frontend/src/ts/elements/last-10-average.ts,877,6
frontend/src/ts/elements/leaderboards.ts,25125,85
frontend/src/ts/elements/loader.ts,504,2
frontend/src/ts/elements/modes-notice.ts,8655,36
frontend/src/ts/elements/monkey-power.ts,6482,5
frontend/src/ts/elements/no-css.ts,1931,3
frontend/src/ts/elements/notifications.ts,9729,27
frontend/src/ts/elements/profile.ts,14107,54
frontend/src/ts/elements/psa.ts,2890,21
frontend/src/ts/elements/result-batches.ts,3471,2
frontend/src/ts/elements/result-word-highlight.ts,17678,7
frontend/src/ts/elements/scroll-to-top.ts,633,4
frontend/src/ts/elements/sign-in-out-button.ts,391,1
frontend/src/ts/elements/test-activity-calendar.ts,5874,2
frontend/src/ts/elements/test-activity.ts,3101,2
frontend/src/ts/elements/theme-colors.ts,1604,1
frontend/src/ts/elements/version-button.ts,597,2
frontend/src/ts/event-handlers/about.ts,365,3
frontend/src/ts/event-handlers/account.ts,1565,4
frontend/src/ts/event-handlers/footer.ts,2075,8
frontend/src/ts/event-handlers/global.ts,1877,4
frontend/src/ts/event-handlers/keymap.ts,197,1
frontend/src/ts/event-handlers/settings.ts,4234,6
frontend/src/ts/event-handlers/test.ts,2702,10
frontend/src/ts/firebase.ts,1270,12
frontend/src/ts/index.ts,2317,47
frontend/src/ts/modals/ape-keys.ts,4005,3
frontend/src/ts/modals/contact.ts,175,2
frontend/src/ts/modals/cookies.ts,3293,2
frontend/src/ts/modals/custom-test-duration.ts,3374,2
frontend/src/ts/modals/custom-text.ts,17698,8
frontend/src/ts/modals/custom-word-amount.ts,1629,6
frontend/src/ts/modals/edit-preset.ts,5362,2
frontend/src/ts/modals/edit-profile.ts,4853,2
frontend/src/ts/modals/edit-result-tags.ts,4032,3
frontend/src/ts/modals/edit-tag.ts,5642,3
frontend/src/ts/modals/google-sign-up.ts,6435,4
frontend/src/ts/modals/import-export-settings.ts,1679,4
frontend/src/ts/modals/mobile-test-config.ts,5605,7
frontend/src/ts/modals/new-filter-preset.ts,1013,2
frontend/src/ts/modals/pb-tables.ts,2751,4
frontend/src/ts/modals/quote-approve.ts,7538,5
frontend/src/ts/modals/quote-rate.ts,6280,2
frontend/src/ts/modals/quote-report.ts,3916,4
frontend/src/ts/modals/quote-search.ts,13064,3
